seller_type,bedroom,layout_type,property_type,locality,price,area,furnish_type,bathroom
0.0,3.0,1.0,4.0,3.0,9.740968623038354,7.358830898342354,1.0,2.0
0.0,2.0,1.0,4.0,8.0,9.680344001221918,7.2456550675945355,1.0,2.0
0.0,2.0,1.0,4.0,25.0,9.903487552536127,6.684611727667927,1.0,2.0
0.0,2.0,1.0,4.0,8.0,9.546812608597396,7.07326971745971,0.0,2.0
0.0,1.0,1.0,1.0,8.0,8.85366542803745,5.991464547107982,0.0,1.0
0.0,1.0,1.0,1.0,10.0,9.047821442478408,6.214608098422191,1.0,2.0
0.0,2.0,1.0,4.0,6.0,9.210340371976184,6.684611727667927,1.0,2.0
0.0,2.0,1.0,4.0,21.0,9.615805480084347,6.421622267806518,0.0,2.0
0.0,2.0,1.0,4.0,9.0,10.126631103850338,6.907755278982137,2.0,2.0
0.0,2.0,1.0,4.0,8.0,9.305650551780507,6.807934943699926,0.0,2.0
0.0,2.0,1.0,4.0,8.0,9.472704636443673,7.090076835776092,1.0,2.0
0.0,3.0,1.0,1.0,8.0,9.433483923290392,7.313220387090301,1.0,3.0
0.0,3.0,1.0,2.0,8.0,10.373491181781864,7.649692623711514,1.0,3.0
0.0,1.0,1.0,2.0,5.0,8.612503371220562,5.521460917862246,0.0,1.0
0.0,2.0,1.0,1.0,8.0,9.047821442478408,6.579251212010101,0.0,2.0
0.0,3.0,1.0,4.0,11.0,9.798127036878302,7.475905969367397,0.0,3.0
0.0,1.0,1.0,2.0,6.0,8.922658299524402,6.309918278226516,1.0,1.0
0.0,3.0,1.0,1.0,8.0,10.308952660644293,6.907755278982137,1.0,2.0
0.0,2.0,1.0,4.0,16.0,9.392661928770137,6.620073206530356,0.0,2.0
0.0,3.0,1.0,1.0,8.0,10.126631103850338,7.4673710669175595,2.0,3.0
0.0,2.0,1.0,2.0,8.0,9.615805480084347,6.476972362889683,0.0,1.0
0.0,1.0,1.0,2.0,8.0,8.85366542803745,6.396929655216146,0.0,1.0
